Heuristic,BSP,Painter,H,N,S
FreeSplit,3.76,0.09,15,361,15625
First,6.86,0.10,46,115,15600
Random,3.75,0.10,16,317,15620
FreeSplit,3.61,0.08,14,379,15617
First,7.06,0.09,46,115,15600
Random,4.28,0.08,15,341,15611
FreeSplit,4.83,0.08,14,381,15608
First,6.67,0.10,46,115,15600
Random,3.82,0.17,18,367,15610
FreeSplit,5.01,0.09,17,265,15607
First,6.73,0.12,46,115,15600
Random,4.33,0.20,13,335,15618
FreeSplit,5.78,0.09,15,255,15608
First,6.34,0.11,46,115,15600
Random,3.56,0.10,15,325,15606
FreeSplit,4.06,0.08,15,409,15613
First,6.55,0.11,46,115,15600
Random,3.30,0.10,13,375,15610
FreeSplit,4.20,0.09,16,303,15615
First,7.00,0.11,46,115,15600
Random,3.15,0.09,15,445,15616
FreeSplit,3.70,0.08,15,357,15613
First,7.71,0.10,46,115,15600
Random,4.03,0.07,16,287,15623
FreeSplit,4.32,0.09,18,375,15613
First,6.86,0.10,46,115,15600
Random,3.44,0.08,14,303,15613
FreeSplit,4.22,0.17,16,261,15603
First,7.39,0.11,46,115,15600
Random,3.61,0.08,14,275,15618
FreeSplit,3.64,0.09,13,347,15612
First,6.93,0.10,46,115,15600
Random,3.27,0.11,15,427,15611
FreeSplit,3.54,0.08,14,301,15618
First,10.63,0.13,46,115,15600
Random,6.49,0.09,14,395,15618
FreeSplit,3.94,0.09,18,347,15607
First,7.11,0.10,46,115,15600
Random,3.32,0.10,14,371,15614
FreeSplit,3.41,0.11,15,411,15610
First,7.26,0.11,46,115,15600
Random,3.10,0.09,15,343,15619
FreeSplit,3.68,0.08,17,385,15614
First,7.05,0.10,46,115,15600
Random,3.40,0.08,16,397,15610
FreeSplit,4.09,0.07,16,301,15612
First,7.10,0.13,46,115,15600
Random,3.17,0.11,15,441,15614
FreeSplit,3.40,0.08,16,421,15614
First,6.70,0.09,46,115,15600
Random,4.14,0.09,18,301,15626
FreeSplit,3.40,0.07,15,333,15612
First,6.98,0.14,46,115,15600
Random,3.23,0.16,16,403,15611
FreeSplit,4.46,0.09,15,447,15616
First,6.40,0.11,46,115,15600
Random,3.66,0.11,16,325,15610
FreeSplit,4.39,0.10,17,349,15621
First,6.44,0.11,46,115,15600
Random,3.73,0.08,14,309,15607
FreeSplit,5.18,0.12,14,285,15614
First,7.00,0.10,46,115,15600
Random,3.24,0.10,14,415,15606
FreeSplit,4.35,0.21,17,275,15616
First,6.76,0.11,46,115,15600
Random,3.50,0.10,14,323,15612
FreeSplit,3.39,0.11,14,413,15609
First,6.48,0.10,46,115,15600
Random,4.27,0.09,15,287,15624
FreeSplit,3.62,0.09,15,433,15611
First,6.93,0.10,46,115,15600
Random,4.10,0.09,17,323,15613
FreeSplit,3.26,0.09,14,397,15616
First,6.84,0.11,46,115,15600
Random,3.16,0.09,16,427,15614
FreeSplit,4.02,0.08,17,435,15614
First,7.06,0.15,46,115,15600
Random,5.55,0.10,17,259,15608
FreeSplit,4.01,0.08,14,297,15615
First,7.01,0.11,46,115,15600
Random,3.47,0.08,16,375,15610
FreeSplit,3.74,0.08,14,307,15617
First,6.73,0.11,46,115,15600
Random,4.02,0.11,14,359,15620
FreeSplit,3.82,0.18,17,417,15613
First,6.81,0.11,46,115,15600
Random,4.20,0.15,13,357,15615
FreeSplit,3.53,0.09,16,405,15614
First,6.74,0.10,46,115,15600
Random,4.14,0.27,19,353,15611
FreeSplit,4.40,0.07,16,285,15612
First,6.41,0.11,46,115,15600
Random,3.65,0.24,17,433,15612
FreeSplit,6.01,0.08,16,381,15613
First,6.68,0.10,46,115,15600
Random,4.48,0.19,14,329,15617
FreeSplit,3.49,0.09,15,385,15620
First,6.75,0.11,46,115,15600
Random,3.51,0.08,17,427,15614
FreeSplit,3.71,0.11,17,443,15615
First,6.51,0.13,46,115,15600
Random,4.65,0.10,17,275,15623
FreeSplit,5.31,0.14,17,291,15623
First,6.73,0.10,46,115,15600
Random,4.16,0.09,18,291,15611
FreeSplit,4.08,0.21,14,377,15631
First,6.35,0.10,46,115,15600
Random,3.97,0.10,14,295,15620
FreeSplit,5.17,0.28,13,289,15619
First,6.87,0.10,46,115,15600
Random,3.76,0.11,15,309,15611
FreeSplit,3.89,0.23,16,293,15607
First,6.47,0.11,46,115,15600
Random,3.52,0.08,13,407,15611
FreeSplit,4.15,0.10,15,321,15614
First,6.55,0.11,46,115,15600
Random,4.26,0.10,16,379,15614
FreeSplit,4.14,0.10,16,347,15612
First,7.20,0.10,46,115,15600
Random,4.38,0.08,17,305,15620
FreeSplit,3.47,0.09,16,427,15614
First,6.87,0.11,46,115,15600
Random,3.39,0.09,17,319,15611
FreeSplit,3.41,0.09,13,355,15625
First,8.13,0.13,46,115,15600
Random,3.83,0.16,18,423,15615
FreeSplit,4.54,0.08,14,393,15625
First,6.83,0.10,46,115,15600
Random,3.19,0.09,15,391,15609
FreeSplit,3.44,0.10,14,311,15610
First,6.36,0.12,46,115,15600
Random,3.75,0.11,13,343,15608
FreeSplit,3.53,0.08,15,381,15621
First,6.94,0.10,46,115,15600
Random,4.29,0.18,17,313,15624
FreeSplit,3.61,0.10,15,327,15618
First,6.42,0.11,46,115,15600
Random,3.19,0.09,14,347,15616
FreeSplit,4.41,0.09,15,425,15612
First,6.69,0.10,46,115,15600
Random,3.36,0.09,15,347,15612
FreeSplit,5.76,0.13,18,393,15615
First,6.49,0.11,46,115,15600
Random,3.29,0.10,16,369,15609
FreeSplit,3.92,0.21,15,315,15621
First,6.33,0.12,46,115,15600
Random,3.68,0.09,17,359,15609
FreeSplit,3.92,0.12,14,277,15612
First,6.67,0.11,46,115,15600
Random,3.61,0.10,15,385,15608
FreeSplit,4.01,0.14,14,361,15621
First,9.61,0.11,46,115,15600
Random,3.19,0.09,14,361,15613
FreeSplit,3.45,0.08,12,269,15611
First,7.11,0.14,46,115,15600
Random,4.56,0.08,13,355,15618
FreeSplit,3.99,0.12,16,465,15614
First,8.84,0.10,46,115,15600
Random,3.31,0.08,16,365,15611
FreeSplit,3.67,0.10,14,405,15619
First,6.81,0.11,46,115,15600
Random,3.44,0.10,14,339,15612
FreeSplit,6.63,0.18,13,287,15615
First,11.27,0.15,46,115,15600
Random,7.62,0.21,14,307,15610
FreeSplit,8.61,0.23,14,383,15624

