Heuristic,BSP,Painter,H,N,S
FreeSplit,50.50,4.02,48,94585,55992
First,99.25,5.38,156,108571,70473
Random,41.41,4.15,48,94111,55888
FreeSplit,44.26,3.86,51,94445,55731
First,100.75,5.38,156,108571,70473
Random,42.18,4.14,46,93961,55841
FreeSplit,68.08,3.89,51,94619,55848
First,97.69,5.16,156,108571,70473
Random,40.25,4.05,45,94239,56077
FreeSplit,44.62,4.12,51,94789,56052
First,98.98,5.26,156,108571,70473
Random,42.69,3.89,45,94309,56095
FreeSplit,47.23,4.02,49,94663,55858
First,97.82,4.51,156,108571,70473
Random,44.42,3.96,51,94101,55975
FreeSplit,47.84,4.02,51,94571,55884
First,98.07,5.24,156,108571,70473
Random,41.65,4.17,47,94349,56105
FreeSplit,44.63,4.10,49,94617,55965
First,98.87,4.90,156,108571,70473
Random,45.25,3.98,49,94183,56002
FreeSplit,49.06,3.85,51,94687,55956
First,105.71,5.18,156,108571,70473
Random,42.74,3.96,46,94037,55924
FreeSplit,51.13,3.93,48,94721,55941
First,103.90,4.87,156,108571,70473
Random,45.45,3.65,48,94125,55976
FreeSplit,43.95,3.91,48,94573,55843
First,99.64,4.48,156,108571,70473
Random,42.88,4.18,49,94247,56131
FreeSplit,45.76,4.14,46,94523,55852
First,105.71,5.22,156,108571,70473
Random,41.73,3.75,45,93969,55870
FreeSplit,47.57,3.70,48,94419,55844
First,97.72,5.43,156,108571,70473
Random,40.95,3.82,46,93919,55793
FreeSplit,45.02,3.81,47,94755,56049
First,103.80,4.83,156,108571,70473
Random,43.75,3.68,53,94241,55969
FreeSplit,46.75,3.79,47,94621,55913
First,100.86,5.19,156,108571,70473
Random,48.60,4.00,49,94049,55932
FreeSplit,45.59,4.12,49,94727,55907
First,104.80,4.47,156,108571,70473
Random,40.63,3.60,46,94251,56035
FreeSplit,51.09,3.71,48,94473,55765
First,102.60,5.16,156,108571,70473
Random,42.55,4.05,45,94077,55833
FreeSplit,52.03,3.87,51,94625,55966
First,99.14,5.25,156,108571,70473
Random,44.73,4.02,48,94023,55873
FreeSplit,44.15,3.60,45,94711,55971
First,99.36,5.30,156,108571,70473
Random,42.13,3.71,49,93973,55935
FreeSplit,46.15,3.96,50,94661,55881
First,100.14,5.25,156,108571,70473
Random,39.83,4.05,45,94197,55992
FreeSplit,46.24,4.07,50,94589,55970
First,98.93,4.30,156,108571,70473
Random,42.22,4.12,48,94051,55939
FreeSplit,49.25,4.13,49,94605,55892
First,99.02,5.20,156,108571,70473
Random,41.02,3.94,45,93981,55810
FreeSplit,52.50,4.04,52,94703,55927
First,99.67,5.34,156,108571,70473
Random,39.63,3.97,50,93913,55795
FreeSplit,50.35,3.66,48,94499,55747
First,123.45,5.09,156,108571,70473
Random,41.59,3.93,48,94061,55964
FreeSplit,48.27,3.95,48,94767,56026
First,105.00,5.41,156,108571,70473
Random,42.53,4.10,49,94127,56021
FreeSplit,46.91,4.03,46,94541,55888
First,100.03,3.80,156,108571,70473
Random,41.71,3.83,58,94109,55944
FreeSplit,46.54,3.87,47,94685,55903
First,99.52,5.23,156,108571,70473
Random,43.64,4.10,50,93967,55833
FreeSplit,45.39,4.00,51,94521,55815
First,99.52,5.31,156,108571,70473
Random,48.32,3.97,49,94113,56011
FreeSplit,45.80,3.92,49,94487,55846
First,98.90,5.21,156,108571,70473
Random,43.03,4.14,47,93937,55842
FreeSplit,44.29,3.99,50,94803,56075
First,101.12,5.10,156,108571,70473
Random,42.87,3.73,49,94167,55906
FreeSplit,47.26,4.12,51,94793,56082
First,97.21,3.59,156,108571,70473
Random,42.43,4.02,46,93961,55777
FreeSplit,48.58,4.05,48,94757,55949
First,99.60,5.28,156,108571,70473
Random,42.87,4.03,48,94095,56004
FreeSplit,46.09,3.95,52,94617,55928
First,99.59,5.39,156,108571,70473
Random,40.41,4.04,45,94053,55872
FreeSplit,47.25,4.14,49,94479,55876
First,99.93,5.22,156,108571,70473
Random,42.48,3.92,45,94157,55952
FreeSplit,46.74,3.88,48,94357,55660
First,102.22,5.23,156,108571,70473
Random,42.28,3.95,48,93969,55783
FreeSplit,44.95,4.09,47,94623,55911
First,102.12,4.00,156,108571,70473
Random,40.53,3.62,47,93963,55758
FreeSplit,46.93,4.10,50,94527,55790
First,97.75,5.23,156,108571,70473
Random,43.33,4.04,46,94117,55844
FreeSplit,45.18,3.96,50,94583,55856
First,99.63,5.35,156,108571,70473
Random,40.61,3.98,47,94083,55940
FreeSplit,45.15,4.04,54,94777,56004
First,100.28,5.03,156,108571,70473
Random,40.14,4.16,45,94209,56040
FreeSplit,48.20,3.94,47,94477,55833
First,98.74,5.18,156,108571,70473
Random,41.10,4.01,50,93965,55756
FreeSplit,44.86,3.96,49,94585,55846
First,101.60,4.45,156,108571,70473
Random,42.74,3.91,48,94229,55991
FreeSplit,46.80,3.90,53,94799,56026
First,98.97,5.09,156,108571,70473
Random,44.62,4.00,48,94081,55885
FreeSplit,48.01,4.19,49,94543,55902
First,99.49,5.28,156,108571,70473
Random,42.47,3.65,46,94079,55940
FreeSplit,48.65,3.66,51,94689,55950
First,104.30,5.34,156,108571,70473
Random,44.40,3.97,48,94303,56018
FreeSplit,46.83,3.79,49,94733,55936
First,102.19,5.20,156,108571,70473
Random,41.10,4.01,47,93931,55808
FreeSplit,48.57,4.05,50,94565,55882
First,103.79,4.47,156,108571,70473
Random,40.38,3.78,48,94207,56052
FreeSplit,45.92,3.57,51,94871,56084
First,97.13,4.80,156,108571,70473
Random,40.30,3.59,50,94073,55949
FreeSplit,47.15,3.53,47,94601,55951
First,97.52,4.70,156,108571,70473
Random,42.81,3.53,53,93843,55699
FreeSplit,45.98,3.49,53,94673,55916
First,97.07,4.66,156,108571,70473
Random,41.78,3.51,48,94017,55823
FreeSplit,50.18,3.55,52,94585,55867
First,97.01,4.71,156,108571,70473
Random,42.56,3.68,52,94001,55908
FreeSplit,46.31,3.58,53,94561,55797
First,98.45,4.39,156,108571,70473
Random,40.26,3.62,47,93933,55794
FreeSplit,43.86,3.61,48,94801,56087
First,97.16,4.71,156,108571,70473
Random,43.25,3.53,45,94223,55970
FreeSplit,47.74,3.65,49,94673,55997
First,98.17,4.88,156,108571,70473
Random,40.65,3.21,50,94141,55919
FreeSplit,44.70,3.64,49,94513,55795
First,101.04,4.62,156,108571,70473
Random,40.07,3.64,48,94285,56140
FreeSplit,50.27,3.67,48,94649,56017
First,103.76,4.89,156,108571,70473
Random,48.72,3.78,50,94181,56039
FreeSplit,44.92,3.69,45,94605,55922
First,101.04,4.72,156,108571,70473
Random,43.63,3.60,47,93985,55795
FreeSplit,47.71,3.75,51,94533,55857
First,101.28,4.69,156,108571,70473
Random,44.95,3.69,50,94153,55939
FreeSplit,52.71,3.76,51,94441,55727
First,97.99,4.71,156,108571,70473
Random,42.40,3.52,49,93979,55835
FreeSplit,44.21,3.60,48,94699,55953
First,97.16,4.66,156,108571,70473
Random,41.14,3.65,48,94157,55951
FreeSplit,51.68,3.73,50,94571,55701
First,101.86,4.75,156,108571,70473
Random,43.04,3.69,51,94197,55991
FreeSplit,49.89,3.65,51,94571,55891
First,133.39,4.49,156,108571,70473
Random,41.31,3.66,46,94145,55971
FreeSplit,48.49,3.74,49,94453,55750
First,103.06,4.76,156,108571,70473
Random,44.50,3.54,53,94105,56020
FreeSplit,42.38,3.69,48,94471,55759
First,104.02,4.71,156,108571,70473
Random,41.62,3.32,46,93815,55754
FreeSplit,50.39,3.71,47,94633,55802
First,103.87,4.80,156,108571,70473
Random,44.18,3.73,49,94017,55909
FreeSplit,48.80,3.61,49,94571,55848
First,97.75,4.80,156,108571,70473
Random,38.56,3.66,44,94243,56052
FreeSplit,41.75,3.68,48,94647,55928
First,98.87,4.52,156,108571,70473
Random,38.14,3.47,47,93997,55808
FreeSplit,44.99,3.75,47,94539,55806
First,100.03,4.69,156,108571,70473
Random,38.91,3.62,46,93957,55834
FreeSplit,50.29,3.85,49,94577,55831
First,110.56,4.92,156,108571,70473
Random,47.70,3.76,47,94031,55950
FreeSplit,49.86,4.02,48,94543,55886

